mCurrentLap,mWorldPosition[0],mWorldPosition[1],mWorldPosition[2],mLocalAcceleration[0],mLocalAcceleration[1],mLocalAcceleration[2],mSteering,mBrake,mThrottle,mTyreRPS[0],mTyreRPS[1],mTyreRPS[2],mTyreRPS[3],mWorldVelocity[0],mWorldVelocity[1],mWorldVelocity[2],mOrientation[0],mOrientation[1],mOrientation[2],mSpeed,mCurrentTime,mAngularVelocity[0],mAngularVelocity[1],mAngularVelocity[2]
3,-248.737,222.314,293.923,0.033326,0.373893,-1.67055,-2.72E-05,0,1,-119.328,-119.395,-120.816,-120.801,-21.6216,0.787978,-30.0176,0.0254043,0.624228,0.00048362,37.008,0.0209961,-0.00217625,0.00076157,-0.00164556
3,-249.459,222.341,292.922,0.0412894,0.662894,-1.62044,-2.26E-05,0,1,-119.562,-119.508,-121.017,-121.002,-21.6525,0.811478,-30.0627,0.0256523,0.624198,0.000492627,37.0602,0.0532227,-0.0135039,0.0011043,0.00100533
3,-249.82,222.355,292.42,0.0390698,0.630962,-1.66684,-2.12E-05,0,1,-119.579,-119.584,-121.096,-121.082,-21.665,0.820614,-30.0809,0.0259713,0.62418,0.000462627,37.0907,0.0712891,-0.0187021,0.000924257,0.00182331
3,-249.82,222.355,292.42,0.0390698,0.630962,-1.66684,-2.12E-05,0,1,-119.579,-119.584,-121.096,-121.082,-21.665,0.820614,-30.0809,0.0259713,0.62418,0.000462627,37.0907,0.0712891,-0.0187021,0.000924257,0.00182331
3,-250.543,222.382,291.416,0.0365531,0.721164,-1.74402,-1.90E-05,0,1,-119.8,-119.798,-121.27,-121.257,-21.7019,0.8464,-30.1347,0.0267645,0.624152,0.000405116,37.1455,0.103027,-0.0255804,0.000995589,0.00203014
3,-250.905,222.396,290.913,0.0354116,0.625918,-1.62396,-1.85E-05,0,1,-119.935,-119.884,-121.337,-121.328,-21.7159,0.857051,-30.1551,0.0271982,0.624133,0.000370916,37.1761,0.121094,-0.021965,0.00112088,0.00173963
3,-251.267,222.411,290.411,0.0331569,0.522812,-1.66666,-3.95E-05,0,1,-119.973,-119.983,-121.437,-121.425,-21.7333,0.86804,-30.1802,0.027515,0.624117,0.000348156,37.204,0.138184,-0.0169432,0.000915329,0.000622141
3,-251.666,222.427,289.857,0.0357394,0.426706,-1.61652,-0.00012677,0,1,-120.043,-120.104,-121.514,-121.499,-21.7455,0.874635,-30.198,0.027751,0.624103,0.000352794,37.2312,0.15332,-0.012876,0.000803534,-0.000841515
3,-251.992,222.44,289.404,0.0519367,0.334643,-1.66045,-0.000556508,0,1,-120.138,-120.153,-121.62,-121.605,-21.7627,0.882161,-30.2231,0.0279033,0.624088,0.00038893,37.2591,0.171387,-0.00745509,0.00110675,-0.00265374
3,-252.319,222.453,288.95,0.114633,0.730787,-1.61095,-0.00186027,0,1,-120.217,-120.241,-121.709,-121.694,-21.7758,0.892028,-30.2436,0.0280181,0.62407,0.000434987,37.2833,0.187988,-0.00857931,0.00162789,-0.00400384
3,-252.791,222.473,288.294,0.630542,0.77305,-1.63082,-0.0125576,0,1,-120.203,-120.447,-121.829,-121.81,-21.7885,0.908355,-30.2739,0.0282644,0.624018,0.000724914,37.3158,0.203125,-0.0147452,0.0051814,-0.0241446
3,-253.045,222.483,287.94,1.23167,0.660206,-1.55017,-0.0185941,0,1,-120.283,-120.566,-121.912,-121.906,-21.7894,0.919595,-30.302,0.0284968,0.62386,0.00125861,37.3367,0.224121,-0.0189577,0.0171278,-0.0510284
3,-253.444,222.5,287.384,1.66474,0.489301,-1.6001,-0.0235075,0,1,-120.359,-120.612,-122.001,-122.033,-21.7835,0.930542,-30.3421,0.0288452,0.623424,0.00233642,37.3635,0.238281,-0.0225777,0.035818,-0.077823
3,-253.77,222.514,286.928,1.98502,0.622426,-1.68823,-0.02697,0,1,-120.404,-120.714,-122.03,-122.099,-21.776,0.938713,-30.375,0.0292283,0.622686,0.00373437,37.3916,0.253418,-0.0223161,0.051121,-0.0905022
3,-254.169,222.532,286.37,2.40793,0.607475,-1.61646,-0.0305797,0,1,-120.461,-120.826,-122.071,-122.191,-21.7614,0.950174,-30.4185,0.0295729,0.621492,0.0054986,37.4212,0.270996,-0.0167284,0.0715131,-0.100475
3,-254.893,222.564,285.354,2.60581,0.426462,-1.5576,-0.0230626,0,1,-120.644,-120.947,-122.197,-122.44,-21.7195,0.969112,-30.5131,0.0299042,0.618476,0.00842229,37.4702,0.303223,-0.00544573,0.109851,-0.0798908
