mCarName,mTrackLocation,mTrackVariation,mCurrentLap,mWorldPosition[0],mWorldPosition[1],mWorldPosition[2],mLocalAcceleration[0],mLocalAcceleration[1],mLocalAcceleration[2],mSteering,mBrake,mThrottle,mTyreRPS[0],mTyreRPS[1],mTyreRPS[2],mTyreRPS[3],mWorldVelocity[0],mWorldVelocity[1],mWorldVelocity[2],mOrientation[0],mOrientation[1],mOrientation[2],mSpeed,mCurrentTime,mAngularVelocity[0],mAngularVelocity[1],mAngularVelocity[2]
Toyota GT-86,Laguna_Seca,,1,-127.206,222.891,447.231,-0.00785303,-1.96934,9.95242,-0.000103373,0,1,-12.1627,-13.1684,-9.93288,-10.1307,-10.9625,-0.188233,-14.9701,-0.00576197,0.632342,0.00173455,18.5219,0.0310059,0.0510531,0.0112611,-0.00336004
Toyota GT-86,Laguna_Seca,,1,-140.13,222.677,429.562,-0.0118418,-0.059306,-3.05495,-7.36707e-05,0,1,-67.5961,-67.5958,-68.7984,-68.7798,-12.3933,-0.260233,-16.9181,-0.00653887,0.632339,0.00197476,20.9836,1.121,0.000138081,-0.000151839,-0.000158394
Toyota GT-86,Laguna_Seca,,1,-141.778,222.642,427.312,-0.0381674,-0.0387046,-3.05806,0.00137972,0,1,-68.9134,-68.8811,-70.117,-70.1,-12.6327,-0.269354,-17.2429,-0.00640276,0.632352,0.00202348,21.3862,1.30099,-0.000790652,-0.000173714,0.000955498
Toyota GT-86,Laguna_Seca,,1,-143.269,222.61,425.287,-1.92973,-0.108608,-2.98384,0.0272429,0,1,-70.2234,-69.8781,-71.3788,-71.2099,-12.936,-0.28231,-17.4658,-0.0065224,0.635135,-0.00271827,21.7416,1.41599,0.00408399,-0.0731827,0.0774289
Toyota GT-86,Laguna_Seca,,1,-145.324,222.566,422.524,-0.405644,0.0413925,-3.05512,-0.000798604,0,1,-71.6046,-71.5341,-72.8821,-72.8091,-13.2954,-0.281281,-17.7839,-0.00706235,0.643449,0.000994137,22.2189,1.57599,-0.000108014,-0.0130056,-0.0151798
Toyota GT-86,Laguna_Seca,,1,-147.026,222.53,420.252,-0.109972,-0.0320247,-3.06291,-0.000600155,0,1,-72.8349,-72.8403,-74.1277,-74.1276,-13.5571,-0.283411,-18.0789,-0.00673862,0.643784,0.00106189,22.6068,1.70401,-0.00177124,0.00156676,-0.00609253
Toyota GT-86,Laguna_Seca,,1,-148.597,222.497,418.157,0.0176559,0.0175953,-3.05953,-0.000236827,0,1,-73.983,-73.9882,-75.3133,-75.2944,-13.7735,-0.288311,-18.3623,-0.00664439,0.643601,0.00183927,22.9588,1.81601,-0.00201982,0.0011767,-0.00467986
Toyota GT-86,Laguna_Seca,,1,-150.357,222.46,415.811,0.0137363,0.0244415,-3.05528,-8.43485e-05,0,1,-75.2128,-75.2152,-76.5577,-76.5362,-13.9999,-0.288487,-18.6685,-0.00615777,0.643511,0.00197149,23.3468,1.939,-0.00335474,0.00033922,0.000576771
Toyota GT-86,Laguna_Seca,,1,-152.359,222.419,413.14,0.000807941,-0.0335857,-3.05535,-5.00252e-05,0,1,-76.5989,-76.5995,-77.9764,-77.9559,-14.2576,-0.291069,-19.0134,-0.00607638,0.643497,0.00193733,23.7798,2.08099,0.00211134,-4.98103e-05,0.000163494
Toyota GT-86,Laguna_Seca,,1,-154.035,222.385,410.905,-0.062709,-0.0425917,-3.05434,0.00240719,0,1,-77.7856,-77.732,-79.1698,-79.149,-14.4739,-0.297485,-19.3009,-0.00636312,0.643504,0.00190275,24.136,2.20001,0.00149109,0.000104518,0.00260856
Toyota GT-86,Laguna_Seca,,1,-155.744,222.35,408.641,-1.98313,-0.0442614,-3.00683,0.0194845,0,1,-78.9607,-78.8455,-80.4534,-80.2406,-14.8117,-0.313104,-19.4946,-0.00652912,0.647575,-0.00462129,24.4902,2.31601,0.00272644,-0.0967288,0.0795764
Toyota GT-86,Laguna_Seca,,1,-157.235,222.319,406.68,-0.636671,0.0665867,-3.04661,-0.000826235,0,1,-79.9846,-79.7813,-81.4316,-81.2503,-15.053,-0.305348,-19.6889,-0.00656718,0.654973,-0.00137031,24.7889,2.41599,-0.000624431,-0.038212,-0.0620377
Toyota GT-86,Laguna_Seca,,1,-159.648,222.271,403.535,-0.264957,0.0677616,-3.04841,-0.000986339,0,1,-81.419,-81.4186,-82.8699,-82.8854,-15.4071,-0.295022,-20.0167,-0.0058875,0.656802,0.00023978,25.2765,2.57098,-0.00572476,0.000922753,-0.00794845
Toyota GT-86,Laguna_Seca,,1,-161.355,222.239,401.318,-0.00873077,0.00186044,-3.02746,-0.000469207,0,1,-82.4907,-82.4991,-83.9775,-83.9613,-15.6208,-0.294436,-20.2742,-0.00545846,0.656569,0.00149736,25.6058,2.689,-0.00121249,0.00218995,-0.00918707
Toyota GT-86,Laguna_Seca,,1,-162.927,222.209,399.277,-0.0136613,0.124936,-3.00903,0.00205986,0,1,-83.5011,-83.4551,-84.9912,-84.9689,-15.8057,-0.293626,-20.5178,-0.00544061,0.656393,0.00188311,25.9127,2.784,-0.00251473,0.00154352,0.00185308
