mCarName,mTrackLocation,mTrackVariation,mCurrentLap,mWorldPosition[0],mWorldPosition[1],mWorldPosition[2],mLocalAcceleration[0],mLocalAcceleration[1],mLocalAcceleration[2],mSteering,mBrake,mThrottle,mTyreRPS[0],mTyreRPS[1],mTyreRPS[2],mTyreRPS[3],mWorldVelocity[0],mWorldVelocity[1],mWorldVelocity[2],mOrientation[0],mOrientation[1],mOrientation[2],mSpeed,mCurrentTime,mAngularVelocity[0],mAngularVelocity[1],mAngularVelocity[2]
Toyota GT-86,Laguna_Seca,,1,-129.732,222.849,443.777,0.149108,0.935695,2.16449,0.000277668,0,0,-55.2781,-55.2857,-54.7881,-54.8025,-10.1115,-0.0983701,-13.8383,-0.012445,0.630665,0.00224381,17.133,0.234009,-0.0109881,0.00181023,-0.00461912
Toyota GT-86,Laguna_Seca,,1,-130.42,222.843,442.834,0.0605199,0.163818,1.77354,0.000188446,0,0,-54.8996,-54.9039,-54.4913,-54.5013,-10.0344,-0.061112,-13.7442,-0.0108704,0.630607,0.00213712,17.0123,0.299988,-0.0265227,0.000615423,0.00380401
Toyota GT-86,Laguna_Seca,,1,-131.402,222.836,441.49,0.0193115,-0.48651,1.68365,-0.000100434,0,0,-54.3375,-54.3448,-53.9385,-53.9517,-9.93196,-0.100158,-13.6098,-0.0105369,0.630492,0.0019225,16.842,0.400024,0.0164146,0.00156384,0.00162163
Toyota GT-86,Laguna_Seca,,1,-132.061,222.828,440.587,0.0154441,-0.503264,1.70225,-7.18713e-05,0,0,-53.961,-53.9682,-53.5618,-53.578,-9.86348,-0.127971,-13.5179,-0.0120708,0.630384,0.00185853,16.7293,0.468994,0.0233911,0.00157072,-0.000848603
Toyota GT-86,Laguna_Seca,,1,-133.042,222.814,439.242,0.0214658,-0.271323,1.68342,-3.76701e-05,0,0,-53.4308,-53.4367,-53.022,-53.0329,-9.76283,-0.164639,-13.3836,-0.0129332,0.630239,0.00183894,16.5612,0.567017,-0.00347931,0.00129763,0.000440153
Toyota GT-86,Laguna_Seca,,1,-134.013,222.796,437.91,0.0137588,-0.279062,1.67195,-2.01464e-05,0,0,-52.8918,-52.8969,-52.4817,-52.4913,-9.66174,-0.180923,-13.248,-0.0119273,0.630116,0.00193625,16.3929,0.666992,-0.00971645,0.00123543,-0.00364778
Toyota GT-86,Laguna_Seca,,1,-134.974,222.777,436.593,0.0226498,0.0180943,1.67328,1.01924e-05,0,0,-52.3425,-52.3472,-51.9511,-51.9607,-9.56203,-0.189978,-13.1144,-0.0121073,0.630003,0.00216139,16.2257,0.767029,0.0106412,0.0010821,-0.000785023
Toyota GT-86,Laguna_Seca,,1,-135.924,222.759,435.289,0.0234799,-0.012355,1.66726,-9.35793e-06,0,0,-51.8005,-51.8062,-51.4228,-51.4326,-9.4615,-0.18632,-12.9803,-0.0134851,0.629882,0.00216339,16.0581,0.869019,0.0109284,0.00124636,0.00126391
Toyota GT-86,Laguna_Seca,,1,-136.881,222.74,433.977,0.0177167,-0.0184027,1.66707,-1.59244e-05,0,0,-51.263,-51.2689,-50.8811,-50.891,-9.36055,-0.185524,-12.8454,-0.0139699,0.629755,0.00203004,15.8915,0.96698,-2.59497e-05,0.00127244,0.000345032
Toyota GT-86,Laguna_Seca,,1,-137.796,222.722,432.72,0.0173765,-0.0971616,1.65496,-1.42753e-05,0,0,-50.7345,-50.7402,-50.3539,-50.3636,-9.26238,-0.189277,-12.7136,-0.0138036,0.629632,0.00208285,15.7254,1.06903,-0.000450532,0.00120177,-0.000973222
Toyota GT-86,Laguna_Seca,,1,-138.411,222.709,431.876,0.0202228,-0.0350594,1.65701,-1.24772e-05,0,0,-50.3794,-50.3846,-50.0035,-50.0132,-9.19679,-0.191963,-12.6257,-0.0138844,0.629553,0.00211457,15.6149,1.13202,0.0023563,0.00116898,-0.000173884
Toyota GT-86,Laguna_Seca,,1,-139.326,222.69,430.621,0.019126,-0.0241808,1.65536,-1.39674e-05,0,0,-49.844,-49.8495,-49.4738,-49.4845,-9.09767,-0.19174,-12.4929,-0.0141956,0.629434,0.00212133,15.4492,1.23199,0.00243816,0.00118752,-1.85414e-05
Toyota GT-86,Laguna_Seca,,1,-140.23,222.671,429.378,0.0180354,-0.0115965,1.65134,-1.57475e-05,0,0,-49.3126,-49.3183,-48.945,-48.955,-8.99889,-0.191026,-12.3604,-0.0142818,0.629315,0.0021018,15.2838,1.33203,-0.000294422,0.00119346,0.000114237
